Number,risks_AI_avg,support_company,gender_bin,objective_threat,trait_risk,educ_short,percent_job_gain,age_group,education,country,manipulation_check2,weight
2358,3,4,Men,0.533333333,risky,0,70%,45 to 64,HS or less,US,Pass,0.716
2359,3.5,5,Men,0.833333333,certain,0,100%,18 to 29,HS or less,US,Pass,1.3596
2360,5,5,Women,NA,certain,0,100%,45 to 64,HS or less,US,Pass,0.8715
2361,9,2,Men,0.366666667,certain,0,70%,45 to 64,HS or less,US,Pass,0.7129
2362,6.5,3,Men,NA,certain,1,100%,45 to 64,Postgrad,US,Pass,0.9723
2363,5,3,Men,NA,certain,0,70%,45 to 64,HS or less,Canada,Pass,1.4668
2364,5,2,Women,NA,risky,0,50%,65 or older,HS or less,Canada,Pass,0.8858
2365,7,2,Women,NA,certain,0,50%,18 to 29,HS or less,Canada,Pass,1.191
2366,0,4,Women,NA,certain,0,50%,65 or older,HS or less,Canada,Fail,3.0626
2367,8.5,2,Women,NA,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.7518
2368,5,3,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,1.1297
2369,3,4,NA,NA,certain,0,50%,30 to 44,HS or less,Canada,Pass,1.4854
2370,4,2,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Fail,0.7872
2371,7,3,Women,1,certain,0,50%,45 to 64,HS or less,Canada,Pass,1.1297
2372,5,2,Men,NA,risky,0,50%,30 to 44,HS or less,Canada,Fail,1.4854
2373,3.5,5,Women,0.9,certain,0,100%,30 to 44,HS or less,Canada,Pass,1.066
2374,2,5,Men,0.366666667,certain,1,30%,18 to 29,Postgrad,Canada,Pass,1.2997
2375,5.5,3,Women,0.6,certain,0,30%,45 to 64,Some college,Canada,Pass,0.4397
2376,4,2,Women,0.566666667,certain,0,100%,30 to 44,HS or less,Canada,Fail,1.1631
2377,4,NA,Men,0.633333333,certain,0,100%,30 to 44,Some college,Canada,Fail,0.6214
2378,5,2,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Pass,1.4733
2379,0.5,2,Women,NA,certain,0,70%,30 to 44,Some college,Canada,Fail,1.6401
2380,7,2,Women,NA,certain,0,30%,45 to 64,HS or less,US,Pass,0.7057
2381,8,2,Women,NA,certain,1,70%,30 to 44,University,US,Pass,3.072
2382,4.5,3,Women,NA,certain,1,30%,18 to 29,University,US,Fail,1.4526
2383,5,4,Men,0.366666667,certain,0,100%,30 to 44,Some college,Canada,Pass,1.0588
2384,5,1,Women,0.433333333,certain,1,30%,30 to 44,University,Canada,Fail,0.7862
2385,5,4,Women,0.366666667,risky,1,50%,30 to 44,University,Canada,Fail,1.4419
2386,2,3,Women,NA,certain,0,50%,18 to 29,HS or less,Canada,Fail,0.9257
2387,6,NA,Women,0.6,certain,0,70%,45 to 64,Some college,Canada,Pass,0.4726
2388,1,3,Women,NA,risky,1,50%,65 or older,University,Canada,Pass,1.1384
2389,7,5,Men,NA,certain,0,70%,65 or older,HS or less,Canada,Fail,1.6371
2390,4,5,Men,NA,risky,1,70%,30 to 44,Postgrad,US,Pass,1.547
2391,1,5,Men,0.433333333,certain,1,30%,45 to 64,University,Canada,Pass,0.8232
2392,8,4,Women,0.633333333,certain,0,70%,45 to 64,HS or less,US,Pass,0.9099
2393,5,5,Women,NA,certain,0,100%,18 to 29,HS or less,US,Pass,0.9485
2394,1,4,Men,0.866666667,certain,0,70%,45 to 64,Some college,Canada,Fail,0.9303
2395,8.5,2,Women,0.233333333,certain,1,50%,30 to 44,Postgrad,Canada,Fail,0.8702
2396,5,2,Women,NA,certain,0,50%,65 or older,HS or less,US,Pass,0.7188
2397,7,NA,Women,NA,certain,0,30%,65 or older,HS or less,Canada,Pass,1.8771
2398,0,1,Men,1,certain,1,70%,30 to 44,Postgrad,US,Fail,1.537
2399,5,3,Women,NA,certain,1,70%,65 or older,University,Canada,Pass,2.9564
2400,5,NA,Men,NA,certain,0,70%,30 to 44,HS or less,Canada,Pass,1.4695
2401,3.5,4,Women,0.466666667,risky,1,70%,45 to 64,Postgrad,US,Pass,0.6611
2402,10,2,Men,NA,certain,0,70%,45 to 64,Some college,Canada,Pass,0.47
2403,2,2,Women,0.6,certain,1,30%,18 to 29,Postgrad,US,Pass,0.7724
2404,3.5,4,Women,NA,certain,0,70%,30 to 44,HS or less,Canada,Pass,1.3346
2405,3.5,4,Men,NA,certain,0,70%,45 to 64,Some college,Canada,Pass,0.4654
2406,5,2,Women,0.666666667,risky,1,30%,45 to 64,Postgrad,US,Pass,1.0391
2407,1.5,4,Men,0.666666667,risky,0,100%,45 to 64,HS or less,Canada,Fail,0.7752
2408,2,5,Men,NA,certain,1,100%,30 to 44,University,US,Fail,1.9282
2409,2,4,Men,0.533333333,risky,1,100%,45 to 64,University,US,Fail,0.9047
2410,1,3,Women,0.366666667,risky,0,100%,18 to 29,HS or less,US,Fail,0.6778
2411,5,1,Men,0.4,certain,0,30%,65 or older,HS or less,Canada,Pass,1.1408
2412,10,2,Women,NA,certain,0,100%,45 to 64,HS or less,Canada,Fail,1.4536
2413,5,4,Women,1,certain,0,70%,45 to 64,HS or less,US,Fail,0.7335
2414,0,5,Men,0.2,certain,1,100%,30 to 44,Postgrad,US,Fail,0.7237
2415,3,2,Men,0.433333333,certain,0,50%,18 to 29,Some college,US,Fail,0.1689
2416,5,5,Men,NA,risky,1,70%,45 to 64,Postgrad,US,Pass,0.9142
2417,5,4,Men,0.266666667,certain,0,100%,45 to 64,HS or less,Canada,Pass,1.4668
2418,5,3,Women,0.7,risky,0,50%,18 to 29,Some college,US,Fail,1.1239
2419,5,NA,Women,NA,certain,0,50%,30 to 44,HS or less,US,Pass,1.0132
2420,7,3,Women,0.3,risky,1,30%,18 to 29,University,Canada,Pass,0.651
2421,6,3,Women,0.833333333,certain,0,30%,45 to 64,Some college,US,Pass,0.5511
2422,5,NA,Women,NA,certain,1,70%,30 to 44,University,US,Pass,1.6493
2423,5,1,Women,NA,certain,0,30%,45 to 64,HS or less,US,Fail,0.4238
2424,5,4,Women,NA,certain,0,100%,65 or older,HS or less,US,Pass,3.9215
2425,3.5,4,Men,0.633333333,certain,1,100%,30 to 44,University,US,Fail,2.5757
2426,5,2,Women,0.133333333,certain,1,50%,18 to 29,University,Canada,Fail,1.236
2427,5,4,Women,NA,certain,0,100%,65 or older,Some college,US,Fail,0.5685
2428,6.5,NA,Men,0.933333333,risky,0,30%,65 or older,Some college,Canada,Fail,1.1036
2429,6,2,Men,NA,risky,1,50%,65 or older,Postgrad,Canada,Pass,0.8076
2430,2.5,3,Men,0.433333333,certain,1,70%,18 to 29,University,US,Fail,1.0601
2431,7,NA,Women,NA,certain,0,100%,45 to 64,HS or less,US,Fail,0.6363
2432,2,2,Women,0.6,risky,0,50%,30 to 44,Some college,Canada,Fail,0.5523
2433,3.5,4,Men,0.533333333,risky,0,100%,18 to 29,HS or less,US,Pass,0.837
2434,7.5,3,Men,0.633333333,certain,0,30%,30 to 44,Some college,US,Pass,1.343
2435,0,NA,Men,0.8,certain,0,30%,30 to 44,Some college,US,Fail,1.7976
2436,5.5,5,Men,0.6,certain,0,100%,18 to 29,Some college,US,Pass,0.9343
2437,5,3,Women,NA,certain,0,50%,30 to 44,HS or less,US,Pass,0.7741
2438,5,3,Women,0.766666667,certain,0,30%,45 to 64,HS or less,US,Pass,0.5476
2439,0,3,Men,NA,risky,0,30%,65 or older,HS or less,Canada,Fail,1.0611
2440,5,1,Women,NA,certain,0,50%,30 to 44,HS or less,Canada,Fail,0.8105
2441,6,4,Men,0.4,certain,1,50%,18 to 29,University,US,Pass,0.3741
2442,6,NA,Women,NA,certain,0,30%,30 to 44,Some college,US,Fail,0.8085
2443,4,4,Men,NA,certain,0,50%,45 to 64,HS or less,US,Pass,0.5575
2444,1,3,Women,NA,certain,1,30%,18 to 29,University,US,Pass,0.8343
2445,5,2,Women,NA,certain,0,50%,65 or older,Some college,Canada,Fail,0.6164
2446,7.5,NA,Men,0.3,certain,1,50%,45 to 64,University,Canada,Fail,1.1813
2447,2,4,Men,0.266666667,risky,1,100%,45 to 64,University,US,Pass,0.888
2448,6.5,4,Men,0.566666667,certain,1,50%,30 to 44,University,US,Pass,1.2529
2449,8,4,Women,0.766666667,certain,1,50%,45 to 64,University,US,Pass,0.4089
2450,7,3,Women,0.566666667,certain,1,50%,18 to 29,University,US,Pass,0.7804
2451,0,4,Men,NA,certain,0,100%,18 to 29,Some college,US,Fail,0.1894
2452,7,NA,Women,NA,certain,1,100%,45 to 64,University,Canada,Fail,2.6593
2453,0,2,Women,0.466666667,risky,0,30%,45 to 64,Some college,Canada,Pass,0.4726
2454,5,4,Men,NA,certain,0,30%,18 to 29,HS or less,US,Fail,1.3596
2455,5.5,NA,Men,0.2,certain,0,100%,45 to 64,HS or less,Canada,Fail,0.7752
2456,1,5,Men,0.4,risky,1,70%,30 to 44,University,Canada,Fail,1.5067
2457,4.5,5,Men,NA,certain,0,100%,18 to 29,Some college,US,Pass,1.4651
2458,5.5,4,Men,NA,risky,0,100%,18 to 29,HS or less,US,Fail,0.9315
2459,7,3,Women,NA,certain,0,50%,45 to 64,Some college,Canada,Fail,0.6783
2460,4,4,Women,0.333333333,certain,1,100%,45 to 64,University,US,Pass,0.5959
2461,1.5,4,Men,0.5,risky,0,50%,18 to 29,HS or less,US,Pass,0.8356
2462,4,4,Men,NA,certain,1,70%,65 or older,Postgrad,US,Pass,1.0155
2463,4,1,Women,NA,risky,0,50%,45 to 64,HS or less,Canada,Fail,3.0059
2464,7.5,4,Women,0.466666667,certain,1,70%,18 to 29,Postgrad,US,Pass,0.8019
2465,3.5,NA,NA,NA,risky,0,70%,18 to 29,HS or less,Canada,Pass,3.6922
2466,0,4,Men,0.433333333,certain,1,100%,18 to 29,University,US,Pass,0.7222
2467,7,3,Men,NA,risky,0,50%,65 or older,HS or less,Canada,Pass,0.9196
2468,4,NA,Women,NA,certain,0,30%,18 to 29,HS or less,Canada,Fail,1.8725
2469,5.5,3,Women,0.133333333,certain,1,30%,30 to 44,Postgrad,US,Pass,1.3894
2470,8,4,Men,NA,certain,0,50%,45 to 64,HS or less,Canada,Pass,1.0782
2471,0,5,Women,0.2,certain,0,50%,18 to 29,HS or less,US,Pass,1.0592
2472,2.5,4,Women,0.766666667,certain,0,100%,45 to 64,HS or less,US,Fail,0.9477
2473,3,4,Women,0.333333333,certain,1,70%,30 to 44,University,Canada,Pass,1.1266
2474,5,4,Women,0.833333333,certain,0,70%,18 to 29,HS or less,US,Pass,0.827
2475,7,2,Men,0.733333333,risky,0,50%,45 to 64,Some college,US,Pass,0.9352
2476,1,5,Men,0.133333333,certain,1,70%,45 to 64,University,Canada,Fail,1.1396
2477,3,5,Men,0.4,risky,1,100%,30 to 44,Postgrad,Canada,Pass,0.9049
2478,0,2,Men,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,0.9196
2479,5.5,3,Men,NA,certain,0,30%,65 or older,HS or less,US,Fail,1.1408
2480,2.5,3,Women,0.533333333,certain,1,100%,30 to 44,Postgrad,Canada,Fail,0.3642
2481,4,4,Women,0.266666667,risky,1,30%,30 to 44,University,US,Fail,0.7688
2482,1.5,2,Women,NA,risky,0,50%,18 to 29,HS or less,US,Fail,0.9015
2483,7.5,2,Men,0.533333333,certain,1,50%,65 or older,Postgrad,US,Pass,1.0299
2484,10,1,Men,0.3,risky,0,30%,45 to 64,HS or less,US,Pass,0.8826
2485,4,4,Men,0.466666667,certain,0,70%,30 to 44,HS or less,US,Pass,0.6408
2486,9,2,Women,0.866666667,certain,0,30%,18 to 29,HS or less,Canada,Pass,1.0859
2487,5,4,Men,NA,certain,0,70%,30 to 44,HS or less,Canada,Pass,1.4854
2488,3.5,2,Women,0.333333333,certain,1,30%,45 to 64,University,Canada,Pass,0.7867
2489,2.5,3,Women,0.7,certain,0,70%,18 to 29,HS or less,Canada,Pass,0.977
2490,2,3,Men,NA,risky,0,50%,65 or older,HS or less,Canada,Fail,1.0611
2491,1.5,2,Men,0.433333333,certain,1,50%,45 to 64,Postgrad,Canada,Fail,0.5747
2492,5,3,Women,0.733333333,risky,0,70%,45 to 64,Some college,Canada,Fail,0.6049
2493,2,4,Men,NA,certain,0,50%,65 or older,Some college,Canada,Pass,1.6748
2494,3.5,4,Men,0.633333333,certain,1,70%,65 or older,University,US,Pass,0.6608
2495,4.5,3,Men,0.633333333,certain,0,70%,45 to 64,Some college,Canada,Fail,0.8869
2496,5.5,1,Men,NA,certain,0,70%,65 or older,Some college,Canada,Fail,0.6371
2497,5,3,Women,0.3,certain,1,70%,45 to 64,Postgrad,Canada,Pass,0.7293
2498,2,NA,Women,1,risky,0,100%,45 to 64,HS or less,US,Fail,0.7055
2499,8,3,Men,0.8,certain,0,50%,45 to 64,HS or less,Canada,Fail,0.8945
2500,4,3,Men,0.366666667,certain,1,100%,18 to 29,University,Canada,Fail,1.2098
2501,7.5,1,Men,0.466666667,certain,1,100%,45 to 64,Postgrad,Canada,Pass,0.5804
2502,5,4,Men,0.466666667,certain,1,30%,45 to 64,University,Canada,Pass,1.1813
2503,6,5,Women,0.566666667,certain,1,100%,45 to 64,University,Canada,Pass,1.0943
2504,3,NA,Men,0.5,certain,1,30%,18 to 29,University,US,Pass,2.9848
2505,7,NA,Men,NA,risky,1,30%,45 to 64,University,US,Pass,0.6756
2506,5,4,Men,0.7,certain,0,100%,45 to 64,Some college,Canada,Pass,1.6561
2507,5,NA,Women,NA,certain,1,100%,45 to 64,University,Canada,Pass,0.7867
2508,6,1,Men,NA,certain,0,30%,65 or older,Some college,US,Fail,0.7031
2509,2,3,Women,0.466666667,certain,0,70%,30 to 44,Some college,Canada,Pass,0.4526
2510,8,2,Women,NA,certain,0,30%,30 to 44,HS or less,US,Pass,0.7741
2511,5,3,Women,1,risky,0,50%,45 to 64,HS or less,US,Fail,1.4278
2512,7.5,4,Women,0.533333333,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.7323
2513,1,2,Men,NA,certain,1,30%,65 or older,University,Canada,Pass,0.7021
2514,1.5,3,Men,0.766666667,risky,0,100%,45 to 64,HS or less,US,Fail,0.1843
2515,7.5,2,Women,0.466666667,certain,1,100%,18 to 29,University,US,Pass,0.7854
2516,9,3,Men,0.5,certain,0,30%,30 to 44,HS or less,US,Fail,0.3402
2517,4,NA,Men,0.333333333,risky,0,100%,18 to 29,HS or less,US,Fail,0.837
2518,6,4,Men,NA,certain,0,100%,45 to 64,HS or less,US,Pass,1.0436
2519,2,3,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,0.955
2520,2.5,3,Women,0.333333333,certain,0,30%,45 to 64,Some college,Canada,Fail,0.6783
2521,7.5,3,Women,0.9,certain,0,100%,45 to 64,Some college,Canada,Pass,0.6783
2522,2.5,2,Women,0.766666667,risky,0,70%,65 or older,Some college,Canada,Fail,0.4969
2523,6,NA,Women,NA,certain,0,50%,45 to 64,Some college,Canada,Fail,0.8949
2524,5,NA,Women,0.666666667,certain,0,100%,45 to 64,HS or less,US,Pass,0.7335
2525,5.5,3,Women,NA,certain,0,70%,45 to 64,HS or less,Canada,Fail,1.1297
2526,3,NA,Men,NA,certain,0,50%,18 to 29,HS or less,US,Pass,0.8258
2527,2,2,Women,0.366666667,certain,0,30%,45 to 64,Some college,Canada,Pass,0.381
2528,10,5,Women,0.5,certain,1,100%,18 to 29,Postgrad,Canada,Fail,0.6442
2529,6.5,2,Men,NA,certain,0,100%,65 or older,HS or less,Canada,Pass,0.994
2530,4.5,2,Men,0.566666667,certain,0,50%,45 to 64,Some college,Canada,Pass,0.5371
2531,3,4,Men,0.533333333,risky,0,70%,45 to 64,HS or less,Canada,Pass,1.0782
2532,5,4,Women,0.833333333,risky,0,30%,30 to 44,Some college,US,Fail,0.6136
2533,6.5,3,Men,0.966666667,certain,1,70%,18 to 29,University,US,Pass,0.8071
2534,1,5,Women,NA,certain,0,50%,65 or older,HS or less,Canada,Fail,1.2321
2535,5,2,Men,NA,certain,1,30%,65 or older,University,US,Pass,3.0253
2536,7,3,Women,NA,certain,0,50%,45 to 64,HS or less,Canada,Fail,1.1297
2537,4,3,Women,NA,certain,1,30%,65 or older,Postgrad,US,Pass,0.7852
2538,4,2,Women,NA,certain,0,100%,65 or older,HS or less,US,Pass,0.9407
2539,2,5,Men,NA,risky,0,100%,65 or older,Some college,Canada,Fail,0.768
2540,5.5,4,Women,0.366666667,certain,0,70%,65 or older,Some college,Canada,Pass,0.6164
2541,10,1,Women,0.566666667,certain,1,100%,65 or older,University,US,Pass,1.0504
2542,4.5,2,Women,0.933333333,certain,0,70%,18 to 29,HS or less,Canada,Pass,0.8256
2543,1,1,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.6793
2544,5,4,Men,NA,certain,1,100%,65 or older,Postgrad,US,Pass,3.138
2545,0,3,Women,0.8,certain,0,50%,45 to 64,HS or less,US,Fail,0.7444
2546,0,5,Women,0.466666667,risky,1,100%,18 to 29,University,US,Pass,1.059
2547,6.5,5,Men,0.3,certain,1,100%,45 to 64,University,Canada,Fail,0.7103
2548,4,4,Men,NA,risky,0,70%,65 or older,Some college,Canada,Fail,0.5521
2549,5.5,4,Women,NA,certain,0,100%,30 to 44,Some college,US,Fail,3.1305
2550,1.5,4,Women,0.533333333,risky,0,30%,30 to 44,Some college,US,Pass,1.6142
2551,1,2,Women,0.1,certain,1,30%,30 to 44,Postgrad,Canada,Pass,1.7386
2552,5,4,Women,NA,certain,0,30%,65 or older,HS or less,US,Fail,0.9825
2553,0.5,4,Women,NA,certain,1,30%,30 to 44,University,US,Fail,0.5414
2554,7,4,Women,0.666666667,certain,1,30%,65 or older,University,US,Pass,0.6836
2555,6,4,Men,NA,certain,1,70%,65 or older,Postgrad,US,Pass,0.7204
2556,2,2,Women,NA,certain,1,30%,65 or older,Postgrad,US,Pass,0.7002
2557,4,1,Women,NA,certain,0,30%,65 or older,Some college,US,Pass,0.8129
2558,10,3,Men,NA,certain,0,70%,65 or older,Some college,US,Fail,0.4638
2559,2,2,Men,0.4,risky,0,100%,45 to 64,HS or less,Canada,Fail,1.1488
2560,5,3,Men,NA,certain,0,70%,65 or older,Some college,Canada,Fail,0.5576
2561,5.5,4,Men,0.3,certain,1,50%,30 to 44,University,US,Fail,0.3759
2562,5.5,2,Men,NA,risky,0,30%,65 or older,Some college,Canada,Pass,0.5521
2563,7,3,Women,NA,risky,0,100%,65 or older,HS or less,US,Pass,0.9011
2564,3,4,Men,NA,certain,0,70%,45 to 64,HS or less,Canada,Fail,0.7752
2565,8,3,Women,NA,risky,1,70%,45 to 64,Postgrad,Canada,Fail,0.6814
2566,5,4,Women,NA,certain,0,70%,65 or older,Some college,US,Pass,0.5943
2567,2,2,Men,0.8,certain,0,70%,65 or older,HS or less,Canada,Pass,0.9196
2568,6,3,Men,NA,certain,0,50%,65 or older,HS or less,Canada,Pass,1.877
2569,2,5,Women,NA,certain,1,100%,65 or older,Postgrad,US,Pass,0.8828
2570,2,4,Men,NA,certain,0,100%,45 to 64,HS or less,Canada,Fail,0.7752
2571,9,NA,Women,NA,certain,0,30%,45 to 64,Some college,US,Fail,0.5511
2572,6,4,Women,NA,certain,1,100%,65 or older,University,US,Pass,0.6836
2573,2.5,3,Women,0.333333333,certain,1,30%,30 to 44,University,Canada,Fail,1.1266
2574,5,2,Men,0.333333333,certain,0,30%,45 to 64,Some college,Canada,Pass,0.4654
2575,5,3,Men,NA,risky,0,100%,65 or older,HS or less,Canada,Pass,1.2791
2576,5,3,Men,0.266666667,certain,0,30%,30 to 44,Some college,Canada,Pass,0.4468
2577,8,1,Men,NA,certain,0,50%,30 to 44,Some college,Canada,Fail,1.0588
2578,6.5,3,Men,0.333333333,certain,0,30%,45 to 64,Some college,US,Fail,0.755
2579,5,4,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Pass,1.0508
2580,6.5,4,Women,0.4,certain,0,30%,18 to 29,HS or less,Canada,Pass,0.9908
2581,5,2,Men,0.9,certain,0,30%,45 to 64,HS or less,US,Pass,0.7054
2582,5,2,Women,NA,certain,0,50%,30 to 44,Some college,Canada,Fail,0.4526
2583,4,2,Women,0.566666667,certain,0,70%,45 to 64,Some college,Canada,Pass,0.4397
2584,4,3,Women,NA,certain,0,70%,45 to 64,HS or less,Canada,Fail,1.1297
2585,2.5,3,Men,0.9,certain,0,70%,65 or older,HS or less,Canada,Pass,1.9204
2586,7,2,Women,NA,certain,0,30%,18 to 29,HS or less,Canada,Fail,1.8725
2587,5,3,Women,NA,certain,1,100%,65 or older,Postgrad,Canada,Fail,0.8886
2588,4,1,Women,NA,certain,0,70%,65 or older,HS or less,US,Fail,1.5326
2589,3,4,Women,0.633333333,risky,0,30%,18 to 29,HS or less,US,Pass,1.1797
2590,8,2,Women,0.833333333,risky,0,50%,30 to 44,HS or less,Canada,Pass,0.8105
2591,5,1,Men,NA,certain,0,50%,65 or older,HS or less,Canada,Pass,1.0611
2592,2,4,Men,0.433333333,certain,0,30%,30 to 44,Some college,Canada,Pass,1.8109
2593,4,4,Women,0.433333333,certain,1,70%,30 to 44,University,Canada,Pass,0.9595
2594,4.5,4,Women,0.566666667,certain,0,30%,30 to 44,Some college,Canada,Fail,0.4199
2595,3.5,4,Men,0.533333333,certain,1,50%,30 to 44,University,US,Pass,1.327
2596,9,1,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.8827
2597,5,5,Men,NA,certain,0,100%,18 to 29,HS or less,Canada,Pass,1.4133
2598,0,4,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Pass,0.7381
2599,2.5,NA,Men,NA,certain,0,70%,45 to 64,HS or less,US,Pass,0.6773
2600,6.5,4,Men,0.566666667,certain,0,100%,45 to 64,Some college,US,Pass,1.186
2601,6,4,Women,NA,certain,0,70%,30 to 44,HS or less,Canada,Pass,1.1631
2602,2,5,Men,NA,certain,0,100%,45 to 64,Some college,Canada,Pass,0.4151
2603,5,NA,Men,NA,certain,0,30%,30 to 44,HS or less,Canada,Fail,2.4441
2604,2,4,Men,NA,certain,0,70%,65 or older,Some college,Canada,Fail,0.9829
2605,0,5,Women,1,certain,0,50%,45 to 64,HS or less,Canada,Pass,0.6346
2606,1.5,4,Men,0.333333333,risky,1,70%,65 or older,Postgrad,US,Pass,0.6425
2607,5,3,Women,NA,certain,0,70%,45 to 64,HS or less,US,Pass,0.3631
2608,4,4,Men,NA,certain,0,70%,45 to 64,Some college,Canada,Pass,0.546
2609,5,4,Women,NA,certain,1,70%,65 or older,Postgrad,US,Pass,0.9919
2610,6,2,Women,0.133333333,certain,0,30%,65 or older,HS or less,Canada,Fail,0.8276
2611,10,1,Men,NA,certain,0,30%,65 or older,Some college,US,Fail,1.1649
2612,5,NA,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Fail,0.8357
2613,0,3,Men,0.266666667,risky,1,30%,30 to 44,Postgrad,Canada,Fail,0.9821
2614,3,4,Men,0.366666667,certain,1,50%,30 to 44,Postgrad,Canada,Pass,0.6247
2615,2,3,Women,NA,certain,0,50%,45 to 64,Some college,US,Fail,0.7862
2616,5,NA,NA,0.833333333,risky,1,50%,30 to 44,University,Canada,Pass,2.3339
2617,0,NA,Women,NA,certain,0,100%,65 or older,Some college,US,Fail,0.5855
2618,3,2,Women,0.633333333,certain,0,30%,65 or older,HS or less,Canada,Pass,1.0266
2619,7,3,Women,0.733333333,certain,0,50%,65 or older,Some college,US,Pass,0.5698
2620,2,4,Men,0.133333333,certain,0,100%,30 to 44,HS or less,US,Fail,1.6821
2621,10,1,Women,0.4,certain,0,70%,30 to 44,HS or less,US,Fail,0.8167
2622,6,NA,Women,NA,certain,0,70%,30 to 44,HS or less,Canada,Fail,0.6533
2623,1,5,Men,NA,risky,1,100%,65 or older,University,US,Fail,0.8649
2624,2,4,Men,NA,certain,0,100%,30 to 44,HS or less,US,Pass,1.9025
2625,0,NA,Men,NA,certain,0,50%,45 to 64,HS or less,US,Fail,0.6547
2626,2.5,3,Women,0.266666667,certain,1,30%,45 to 64,Postgrad,Canada,Pass,0.7375
2627,2,5,Men,NA,certain,0,30%,45 to 64,HS or less,Canada,Fail,1.0782
2628,7.5,3,Women,NA,certain,0,70%,18 to 29,HS or less,US,Fail,0.988
2629,3,NA,Men,NA,risky,1,50%,30 to 44,University,Canada,Fail,1.9818
2630,5,1,Women,NA,certain,1,100%,65 or older,University,US,Fail,0.4248
2631,6,1,Women,0.9,certain,0,100%,30 to 44,Some college,US,Fail,0.4361
2632,5.5,4,Women,NA,certain,1,50%,45 to 64,University,US,Pass,0.6998
2633,2,3,Women,0.466666667,certain,0,100%,65 or older,Some college,US,Pass,0.4402
2634,4.5,4,Women,0.566666667,certain,0,70%,30 to 44,Some college,Canada,Pass,0.4866
2635,6.5,4,Men,NA,certain,0,70%,45 to 64,Some college,US,Pass,0.7874
2636,5,3,Women,0.5,certain,1,30%,45 to 64,University,US,Fail,0.461
2637,10,4,Men,0.466666667,certain,1,100%,30 to 44,University,US,Pass,0.9722
2638,10,4,Women,NA,certain,0,50%,45 to 64,HS or less,US,Fail,1.2346
2639,5,4,Women,0.466666667,certain,1,100%,45 to 64,University,US,Pass,0.5896
2640,5,3,Men,NA,certain,0,50%,65 or older,Some college,US,Pass,0.3529
2641,6,NA,Women,NA,certain,1,100%,45 to 64,University,US,Fail,0.9317
2642,7.5,NA,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Pass,0.8858
2643,7,3,Women,0.333333333,certain,1,50%,30 to 44,University,Canada,Pass,1.1266
2644,10,NA,Women,NA,certain,0,30%,65 or older,Some college,US,Pass,0.4943
2645,4.5,3,Men,NA,risky,0,100%,65 or older,Some college,US,Pass,0.7429
2646,10,1,Women,NA,certain,0,50%,65 or older,HS or less,US,Pass,0.7583
2647,5,2,Women,NA,certain,0,70%,30 to 44,Some college,US,Fail,0.7878
2648,8,4,Women,NA,certain,0,30%,45 to 64,HS or less,US,Pass,0.6363
2649,5,NA,Men,0.466666667,risky,1,100%,45 to 64,University,US,Pass,0.5122
2650,0,3,Men,0.4,certain,0,100%,30 to 44,HS or less,Canada,Fail,1.7702
2651,5,4,Men,0.666666667,certain,0,70%,30 to 44,Some college,US,Fail,0.8059
2652,8,4,Men,NA,certain,0,100%,45 to 64,HS or less,US,Pass,0.8826
2653,5,3,Women,0.666666667,risky,0,70%,45 to 64,Some college,US,Fail,0.9167
2654,2,4,Women,NA,certain,0,100%,45 to 64,HS or less,Canada,Pass,0.6982
2655,5,1,Men,NA,risky,0,50%,45 to 64,Some college,US,Pass,0.9415
2656,5,2,Women,0.433333333,certain,0,30%,30 to 44,HS or less,US,Pass,1.185
2657,8.5,2,Men,0.533333333,risky,1,30%,45 to 64,University,Canada,Pass,1.2556
2658,0,4,Women,0.433333333,certain,0,70%,65 or older,Some college,US,Pass,1.1833
2659,5,3,Women,NA,certain,0,100%,45 to 64,HS or less,US,Fail,0.3825
2660,1,5,Women,0.433333333,risky,1,30%,30 to 44,University,US,Pass,0.8806
2661,0,4,Men,0.866666667,certain,0,70%,30 to 44,Some college,Canada,Fail,0.5059
2662,5,2,Women,NA,certain,1,70%,18 to 29,Postgrad,US,Fail,1.0108
2663,9,2,Women,NA,certain,0,30%,45 to 64,HS or less,US,Pass,0.8037
2664,0,3,Women,0.5,certain,0,30%,45 to 64,HS or less,Canada,Fail,0.6346
2665,6,4,Women,NA,certain,0,100%,45 to 64,Some college,US,Pass,1.5834
2666,5,3,Women,NA,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.6409
2667,8,5,Men,NA,risky,0,70%,45 to 64,HS or less,Canada,Pass,1.058
2668,5,3,Men,0.6,certain,0,50%,30 to 44,Some college,Canada,Pass,0.6968
